customer_text,intent,escalate,escalate_reason,brand_text
Just a heads up @115821 #Amazon is scamming people and automatically enrolling them in prime membership with a button in the checkout process that just says either get free two day shipping or get started. There is no confirmation page if you click either auto signed 108 bucks!,Account/Billing Issue,Yes,"Customer alleges unauthorized automatic enrollment and billing, using strong negative language ('scamming'), which indicates a potential billing dispute requiring human review.",@672594 I'm sorry for the unexpected charge! You can learn how to end your Prime membership and about refunds here: https://t.co/s0ZspzdHlG. Please let us know if you have further questions or concerns! ^TG
@AmazonHelp Je vous DM,Other/General Inquiry,No,"The tweet is a brief notification that the customer is sending a direct message, containing no specific issue, anger, or complexity requiring immediate escalation.",@777906 Entendu :)
@115850  showing severe lack of professionalism in orders refund claim filed by me. Please find more on this with attached screenshot here https://t.co/URgiN3X6Js,Returns/Refunds,Yes,"Customer is expressing strong dissatisfaction and accusing the company of unprofessionalism regarding a refund claim, which indicates a high-risk situation requiring human intervention.",@350312 We would like to help. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. (1/2)^CB
@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,Other/General Inquiry,Yes,"Customer reports repeated failed resolutions and lack of communication over a month, indicating a complex or unresolved issue requiring human intervention.",@115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD
"@AmazonHelp While you appreciate my patience, I would appreciate if youll could understand my concern.",Other/General Inquiry,No,"The tweet is a general expression of frustration without specific details about a complex issue, severe safety risk, or extreme anger that requires immediate human intervention.",@148240 I get your concern about the cashback. We're currently working on your issue. We'll contact you once we have an update. ^PJ
@AmazonHelp non rien ! Ni dans mes spams.,Account/Billing Issue,No,"The customer is reporting a missing email (likely a verification, password reset, or order confirmation) and has already checked spam. This is a routine technical support issue that can be handled by standard troubleshooting steps or automated account recovery flows.","@220517 Le mieux serait de relancer notre service client. Veuillez le faire via le lien suivant : https://t.co/MBTDQip4Uh
^ARC"
@AmazonHelp No...,Other/General Inquiry,No,"The tweet is incomplete and lacks specific details about an issue, making it a general or unclear inquiry that does not meet escalation criteria.",@281653 Please contact us via this link: https://t.co/JzP7hlA23B so an agent can look into this further. ^JJ
@115821 kindly help just placed an order but want to change delivery address,Delivery/Shipping Issue,No,"Routine request to update delivery address for a recent order, which is a standard support task.","@454717 Hi there, you can edit your order as long as it hasn't shipped yet, here: https://t.co/JpDUez4JJa ^DW"
"@115830 on a roll this week. Booked a designated Prime delivery for today. Not on van yet and we're 30 miles from depot. Lost another delivery due on 21st, reordered to be delivered today. Not even dispatched. Apparently their busy, shouldn't promise what you can't deliver!",Delivery/Shipping Issue,No,"The tweet expresses frustration about delayed Prime deliveries but describes a routine shipping delay rather than a complex, safety-critical, or severe security issue. It can be handled by standard support workflows.","@147309 Hey Sandy, what is the current status of your order? Some orders go out for delivery later on in a day and are delivered that same day. Since we are in a very busy period some deliveries might take longer: https://t.co/WsyyKjh4VH ^MA"
Have spent literally hours with other companies on phone and in chats trying to resolve issues. Five minute chat with @AmazonHelp and problem is fixed. #greatcustomerservice,Other/General Inquiry,No,"The tweet is a positive testimonial praising customer service, not a complaint or request for assistance.",@664287 Thanks so much for your kind feedback! I'm happy we were able to help. We're always here if you need us! 😊 ^AB
"@115850 @AmazonHelp order-171-2324126-0293169
Product photo, description and actual product doesn't match. Cheated",Product/Item Defect,No,"The issue is a mismatch between the product description and the received item, which is a standard return/refund scenario. While the customer uses strong language ('Cheated'), it does not indicate a severe safety risk or complex technical issue requiring immediate human escalation.","@354135 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. 2/2 ^AS"
@AmazonHelp All it shows is the company I ordered from...I'm assuming third party. When I checked their profile on return policy. It says they follow,Returns/Refunds,No,"The customer is inquiring about the return policy of a third-party seller, which is a routine policy question that can be handled by standard support resources or automated responses.",@126707 Have you been able to resize the image? ^NM
@115850 one of the worst customer service experience with Amazon India. Ordered an item on 5th and today is 8th no update?,Delivery/Shipping Issue,No,Routine shipping delay inquiry without severe safety risks or extreme aggression.,@201315 Sorry about that. Could you tell us the delivery date that was promised while placing the order? ^SK
@AmazonHelp Do you have a customer services number that I could call to see where the driver or delivery actually is?,Delivery/Shipping Issue,No,Routine inquiry about delivery status and contact information.,"@298112 Definitely, Lee! You can contact support here: https://t.co/JzP7hlA23B . Let us know if you need further assistance! ^AD"
"@AmazonHelp i dont know , it tells me im on both settings , this is what it says https://t.co/mgs8mfbO96",Account/Billing Issue,No,"The customer is reporting a configuration or settings conflict, which is a technical support issue but not indicative of severe anger, safety risk, or complex billing fraud. It can be handled by standard support workflows.",@184641 Please reach out to us directly here: https://t.co/JzP7hlA23B and we can look into this further. ^PK
"@AmazonHelp Hey NV, thanks for getting back to me! My account is registered with the .co.uk site and, yeah, I can still access my account on the browser!",Account/Billing Issue,No,"The customer is providing information regarding their account access and registration details in a positive, cooperative tone. There is no anger, complex technical failure, or security risk indicated.","@666750 So strange! For us to be able to take a closer look into this, let's troubleshoot this in real time with you here: https://t.co/JzP7hlA23B ^JZ"
"@117804 Comprei e me arrependi, a bateria não dura 3 horas",Product/Item Defect,No,"The customer is reporting a product performance issue (battery life) and expressing regret, which is a standard product complaint suitable for automated handling or standard support workflows, not requiring immediate human escalation due to anger or safety risks.",@362675 Olá! Sentimos muito o acontecido. Você verificou se o Kindle tem a última atualização de software: https://t.co/wn9cu30VQq ^HC
@AmazonHelp 了解です！,Other/General Inquiry,No,"The tweet is a simple acknowledgment ('Understood!') with no specific issue, complaint, or request requiring action.",@278196 🙇🙇 YM
"disgusted @115821 . Take money upfront, promise deliver for which I wait in for and cancel at last minute.. still keeping my money",Delivery/Shipping Issue,No,"The customer is expressing frustration about a cancelled order and retained funds, which is a routine billing/shipping dispute that can be handled by standard refund procedures without requiring immediate human escalation.",@336240 I'm sorry for the frustration! This is not the expectations we have set. Can you please tell us which site you order from? ^AC
@AmazonHelp Why?,Other/General Inquiry,No,The tweet is too vague to identify a specific issue or indicate anger/complexity; it requires clarification rather than immediate escalation.,@665473 There may also be technical or licensing reasons why we're unable to deliver a product to a particular country. You'll find more information about where the various product groups can be sent to here: https://t.co/JRnvCUoFCz ^SK
"Hallo @AmazonHelp... Wie kann es sein, dass bei Prime sowas passiert? Das lief früher deutlich besser. Bin not amused https://t.co/VIQRVG2d6T",Other/General Inquiry,No,"The tweet is a general complaint about Prime service quality without specific details on a complex issue, severe safety risk, or extreme anger that requires immediate human intervention.",@308072 Da ist wohl etwas unvorhergesehenes dazwischen gekommen. Gerne schaut sich das unser Kundenservice an: https://t.co/24XL9C4y1x ^KM
@AmazonHelp It says it was delivered September 27th,Delivery/Shipping Issue,No,Routine tracking/delivery status inquiry,"@447523 We'd like to look into this. If you have a moment, please contact us by phone or chat here: https://t.co/hApLpMlfHN. ^LH"
"@AmazonHelp Yes I am, I've even tried to make a new account and try the trial but it still doesn't work.",Account/Billing Issue,No,"The customer is reporting a technical issue with account creation or trial activation. While they have tried a workaround, the tone is not aggressive, and this is a standard technical support issue that can be handled by automated troubleshooting or a standard support queue without immediate human escalation.",@392671 Have you tried clearing the cache and cookies to the browser? What about trying a different one? ^MH
@116090 #intelcom ? More like intelcunt. My one-day/same-day shipping became 1 week shipping. More like shitting tbh.,Delivery/Shipping Issue,No,"Despite the profanity, the core issue is a routine shipping delay complaint which can be handled by standard support workflows.",@411764 I'm terribly sorry for the issue with your delivery! So we can look into available options with you: https://t.co/Q7Ftz6nj80 ^JA
@119625 Woww... too quick . Thanks for reply guys @115851 hike their pay please .,Other/General Inquiry,No,"The tweet is a casual, positive comment regarding the speed of a previous response and a lighthearted suggestion, containing no actionable support issue or anger.","@282890 You're most welcome, Chandru. 🙂 ^NK"
Hey @AmazonHelp just received my package and only one of three items were not damaged. What are you going to do for me? Very upset and disappointed. https://t.co/AUDOuvLUFy,Product/Item Defect,No,"This is a standard damaged item claim which can be handled by automated support workflows for returns/refunds, despite the customer's expressed disappointment.","@276638 This looks messy! I'm so sorry this happened, Steve. We'd like to help! Please reach out to us via phone or chat for available options here: https://t.co/hApLpMlfHN  ^JP"
@120533 Mhh et là il est 21H et la Boîte aux Lettres toujours aussi vide... Sympa de payer pour ne pas être livré ! https://t.co/tC17BalykO,Delivery/Shipping Issue,No,"The customer is complaining about a late delivery, which is a routine shipping issue. While the tone is sarcastic and frustrated, it does not indicate severe anger, a safety risk, or a complex technical problem requiring immediate human intervention.","@742147 Bonsoir, je suis sincèrement désolée pour cela, votre colis est pris en charge par quel transporteur je vous prie ?
^KE"
Y tho? :( @AmazonHelp https://t.co/zH5v9Suqv9,Other/General Inquiry,No,"The tweet is vague and lacks specific details about the issue, making it a general inquiry that does not indicate anger, complexity, or safety risk.","@305811 I'm very sorry for the damaged order! Just to confirm, which Amazon site was this ordered from (.com, .co.uk, .es)? ^WT"
@AmazonHelp es respecto a vuestro pedido  407-6218908-1093168 que ya lleva un importante retraso por problemas logisticos de Seur,Delivery/Shipping Issue,No,Routine shipping delay inquiry regarding a specific order; no signs of extreme anger or complex security issues.,@752996 Recuerda que este es un medio público y no es recomendable compartir datos como número del pedido. 1/2
@AmazonHelp ChromeでAmazonのページ読み込みが大体終わったタイミングでハングアップが発生して一定時間動けなくなります。キャッシュ削除・再起動しても変わらず。Safariでは症状が出ません。(環境続けて書きます),Other/General Inquiry,No,"This is a technical browser compatibility issue (Chrome hang) that has been partially troubleshooted by the user. It is not a severe security risk or an expression of extreme anger, and can be handled by standard technical support channels or auto-response with troubleshooting steps.","@350051 詳細な状況のご連絡ありがとうございました。
担当部署に報告のうえ、確認させていただきます。
なお、何かわかり次第、改めてご連絡をさせていただきますので、ご不便おかけするかと存じますが、それまでSafariなどの別ブラウザにてご利用くださいませ。TY"
@AmazonHelp Yeah contacted you guys through chat. Said that new delivery date MIGHT be on Monday. Well lets see what happens on Monday.,Delivery/Shipping Issue,No,"The customer is expressing mild frustration about a delayed delivery but is not angry, threatening, or describing a complex issue. It is a routine shipping status inquiry.",@239366 Thanks for the update. Please keep us posted. ^GG
